Rank,Team,2005,Last 3,Last 1,Home,Away,2004
304,Tulane,0.903,0.856,0.81,0.935,0.888,0.94
305,Norfolk St,0.9,0.958,0.798,0.909,0.896,0.903
306,Texas State,0.899,0.916,0.836,0.949,0.864,0.989
307,Brown,0.898,1.009,0.907,0.922,0.878,0.962
308,Citadel,0.897,1.065,1.185,0.897,0.897,0.884
309,S Car State,0.895,0.853,0.851,0.968,0.863,1.019
310,S Mississippi,0.895,0.977,0.809,0.917,0.874,0.971
311,Colgate,0.895,0.924,0.735,0.901,0.89,0.952
312,LA Monroe,0.894,0.888,0.889,1.013,0.816,0.916
313,S Florida,0.893,0.824,1.073,0.9,0.886,0.983
314,Cleveland St,0.892,0.933,0.866,0.869,0.917,0.953
315,Richmond,0.891,1.008,0.662,0.978,0.789,0.986
316,Ark Pine Bl,0.889,0.822,0.651,0.964,0.855,0.844
317,Tulsa,0.888,0.886,0.997,0.973,0.822,0.963
318,Liberty,0.886,0.807,0.795,0.963,0.836,0.933
319,TX Christian,0.883,0.95,0.836,0.89,0.876,0.977
320,Maryland ES,0.881,0.922,0.951,0.961,0.841,0.76
321,S Dakota St,0.879,0.949,1.018,0.904,0.863,0.898
322,TX Southern,0.876,0.897,0.789,0.928,0.851,0.912
323,UC Riverside,0.875,0.904,0.617,0.921,0.839,0.905
324,Morehead St,0.872,0.959,0.71,0.922,0.837,0.912
325,Stony Brook,0.872,1.03,1.003,0.975,0.817,0.922
326,Florida Intl,0.859,0.91,0.9,0.886,0.838,0.927
327,NC A&T,0.858,0.759,0.782,0.897,0.839,0.845
328,Illinois St,0.857,0.868,0.73,0.908,0.801,1.002
329,Prairie View,0.849,0.915,0.947,0.853,0.846,0.772
330,Central Mich,0.847,0.882,0.807,0.909,0.796,0.922
331,TX-Pan Am,0.845,0.847,0.877,0.872,0.832,0.944
332,Army,0.843,0.843,0.829,0.864,0.826,0.844
333,Morgan St,0.769,0.782,0.76,0.852,0.72,0.949
334,Savannah St,0.759,0.924,0.973,0.868,0.729,0.762
